url,published,rent,size,district,female_inhabitants,male_inhabitants,diverse_inhabitants,total_inhabitants
wg-zimmer-in-Berlin-Gesundbrunnen.11531966.html,2025-08-06T00:00:00,600,20,Gesundbrunnen,0,1,0,2
wg-zimmer-in-Berlin-Lankwitz.12185546.html,2025-07-24T00:00:00,480,13,Lankwitz,1,2,0,4
wg-zimmer-in-Berlin-Prenzlauer-Berg.6182833.html,2025-08-15T00:00:00,480,12,Prenzlauer Berg,1,0,1,3
wg-zimmer-in-Berlin-Heinersdorf.12145655.html,2025-07-31T00:00:00,25,19,Heinersdorf,1,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.12247260.html,2025-08-16T00:00:00,650,25,Prenzlauer Berg,0,0,0,2
wg-zimmer-in-Berlin-Neukoelln.12234337.html,2025-08-14T00:00:00,580,12,Neukölln,0,2,0,3
wg-zimmer-in-Berlin-Charlottenburg.12224493.html,2025-08-07T00:00:00,570,23,Charlottenburg,0,2,0,3
wg-zimmer-in-Berlin-Mitte.12153620.html,2025-07-31T00:00:00,650,14,Mitte,1,0,1,3
wg-zimmer-in-Berlin-Neukoelln.3872802.html,2025-08-14T00:00:00,530,25,Neukölln,2,1,0,4
wg-zimmer-in-Berlin-Lankwitz.7183138.html,2025-07-25T00:00:00,550,16,Lankwitz,1,0,0,2
wg-zimmer-in-Berlin-Wilmersdorf.12037023.html,2025-07-23T00:00:00,630,12,Wilmersdorf,1,0,0,2
wg-zimmer-in-Berlin-Mitte.11553585.html,2025-06-23T00:00:00,600,23,Mitte,0,0,0,2
wg-zimmer-in-Berlin-Berlin.10707699.html,2025-08-16T00:00:00,350,10,Berlin,0,2,0,3
wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.12129052.html,2025-08-16T00:00:00,750,24,Friedrichshain-Kreuzberg,1,0,0,2
wg-zimmer-in-Berlin-Hessenwinkel.12124174.html,2025-07-01T00:00:00,9999,99,Hessenwinkel,1,0,0,2
wg-zimmer-in-Berlin-Mariendorf.12237726.html,2025-08-12T00:00:00,331,13,Mariendorf,0,1,0,2
wg-zimmer-in-Berlin-Karlshorst.12226275.html,2025-08-11T00:00:00,600,25,Karlshorst,1,0,0,2
wg-zimmer-in-Berlin-Gesundbrunnen.12244453.html,2025-08-14T00:00:00,550,35,Gesundbrunnen,1,2,0,4
wg-zimmer-in-Berlin-Neukoelln.9855353.html,2025-07-29T00:00:00,380,24,Neukölln,1,1,0,3
